id,market_cap_rank,current_price,market_cap,total_volume,circulating_supply,total_supply,max_supply
bitcoin,1,29400.0,571904683058.0,5182436080.0,19455643.0,21000000.0,21000000.0
ethereum,2,1848.65,222079892987.0,2201578895.0,120145768.369,120145768.369,0.0
binancecoin,4,240.17,36942074578.0,208015521.0,153856150.0,153856150.0,200000000.0
ripple,5,0.629,33195025874.0,495372011.0,52787284454.0,99988519823.0,100000000000.0
dogecoin,8,0.076,10737218362.0,366689404.0,140567896383.705,140567806383.705,0.0
cardano,9,0.291,10199754034.0,99732585.0,35045020830.323,45000000000.0,45000000000.0
solana,10,24.9,10102399405.0,264363033.0,405971377.89,554755847.474,0.0
gala,72,0.023,584461414.0,333493368.0,25242635391.517,25242592722.366,50000000000.0
terra-luna,91,0.0,453949012.0,18346934.0,5815965380628.71,6838989784038.09,0.0
chives-coin,0,0.0,0.0,14797.2,0.0,0.0,0.0
